malla_punto_id;CuentaDesnow;anio_hidrologico
32038;3;2004-2005
32038;3;2005-2006
32038;3;2006-2007
32038;6;2008-2009
32039;3;2000-2001
32039;2;2001-2002
32039;5;2002-2003
32039;2;2003-2004
32039;2;2004-2005
32039;2;2005-2006
32039;2;2006-2007
32039;4;2008-2009
32040;1;2000-2001
32040;2;2001-2002
32040;5;2002-2003
32040;1;2003-2004
32040;3;2004-2005
32040;2;2005-2006
32040;1;2006-2007
32040;2;2008-2009
32041;1;2000-2001
32041;1;2001-2002
32041;2;2002-2003
32041;1;2003-2004
32041;3;2004-2005
32041;2;2005-2006
32041;1;2006-2007
32041;2;2008-2009
32047;1;2001-2002
32047;2;2002-2003
32047;1;2003-2004
32047;3;2004-2005
32047;1;2005-2006
32047;2;2006-2007
32047;2;2008-2009
32048;1;2000-2001
32048;1;2001-2002
32048;5;2002-2003
32048;1;2003-2004
32048;3;2004-2005
32048;2;2005-2006
32048;2;2006-2007
32048;2;2008-2009
32049;1;2000-2001
32049;1;2001-2002
32049;6;2002-2003
32049;1;2003-2004
32049;4;2004-2005
32049;2;2005-2006
32049;3;2006-2007
32049;1;2007-2008
32049;2;2008-2009
32050;1;2000-2001
32050;2;2001-2002
32050;6;2002-2003
32050;4;2004-2005
32050;5;2005-2006
32050;3;2006-2007
32050;2;2007-2008
32050;3;2008-2009
32051;2;2000-2001
32051;1;2001-2002
32051;8;2002-2003
32051;1;2003-2004
32051;4;2004-2005
32051;4;2005-2006
32051;3;2006-2007
32051;1;2007-2008
32051;2;2008-2009
32052;1;2000-2001
32052;2;2001-2002
32052;7;2002-2003
32052;3;2004-2005
32052;3;2005-2006
32052;4;2006-2007
32052;1;2007-2008
32052;2;2008-2009
32053;1;2000-2001
32053;3;2002-2003
32053;3;2004-2005
32053;3;2005-2006
32053;2;2006-2007
32053;1;2008-2009
32054;1;2000-2001
32054;1;2001-2002
32054;3;2002-2003
32054;3;2004-2005
32054;3;2005-2006
32054;2;2006-2007
32054;1;2008-2009
32055;3;2002-2003
32055;3;2004-2005
32055;2;2005-2006
32055;2;2006-2007
32055;1;2008-2009
32526;2;1999-2000
32526;3;2000-2001
32526;2;2001-2002
32526;6;2002-2003
32526;2;2003-2004
32526;4;2004-2005
32526;8;2005-2006
32526;4;2006-2007
32526;1;2007-2008
32526;6;2008-2009
32527;1;1999-2000
32527;3;2000-2001
32527;2;2001-2002
32527;6;2002-2003
32527;4;2003-2004
32527;5;2004-2005
32527;8;2005-2006
32527;4;2006-2007
32527;9;2008-2009
32528;1;1999-2000
32528;3;2000-2001
32528;3;2001-2002
32528;8;2002-2003
32528;3;2003-2004
32528;4;2004-2005
32528;8;2005-2006
32528;4;2006-2007
32528;8;2008-2009
